Post Created Date,Post Created Time,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Message,Link,Score,comment_csv,comment_neg,comment_pos,comment_total,timestamp,week_day,time_slot,polarity,polarity_class,polarity_comment
08-04-22,8:45:00,"64,631",38093,494,429,24541,183,162,19,44,666,🤩 প্রথম বাঙালি খাবার || Mark Wiens in Bangladesh! & His First Bangla Food Experience 😍 @Migrationology's YouTube Channel: https://www.youtube.com/c/MarkWiens:=:https://www.youtube.com/channel/UCyEd6QBSgat5kkC6svyjudA 🍦 CoolfieWala's Kulfi Malai: https://www.facebook.com/CoolfieWala 200ml Jar: https://ghortheke.com/-p199586168?ref=1:=:https://ghortheke.com/Coolfiewalas-Malai-Kulfi-200ml-p199586168 100ml Jar: https://ghortheke.com/-p415594132?ref=1:=:https://ghortheke.com/Coolfiewalas-Malai-Kulfi-100ml-p415594132 ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/,https://www.facebook.com/PetukCouple/videos/724784095197504/,2.78,petuk-couple_146,3,26,29,2022-04-08 13:45:00,friday,14,0.982432168651181,7,0.7931034482758621
10-04-22,8:45:00,"88,682",61594,817,703,24180,390,265,29,45,659,😍 Mark Wiens এর প্রথমবারের মতো ইলিশ মাছ 🔥 আপনাদের অবগতির জন্য জানানো যাচ্ছে যে ভিডিওটি রোজার আগে ধারণ করা হয়েছিল। 🙂 ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/,https://www.facebook.com/PetukCouple/videos/948020015878253/,3.81,petuk-couple_147,1,28,29,2022-04-10 13:45:00,sunday,14,0.973482478097622,7,0.9310344827586207
11-04-22,8:45:03,"90,245",63236,830,553,23778,384,576,37,71,780,"কলিজার ঝালমুড়ি - ভেলপুরি আর রোল || Streetfood Tour with Mark Wiens 😍 🗺 Locations: Jhalmuri & Roll: https://goo.gl/maps/bYwwzZf2rvhHLhEf7:=:https://www.google.com/maps/place/Ave+06,+Dhaka/@23.760133,90.4380716,20.35z/data=!4m5!3m4!1s0x3755b809acc84dff:0xa7e45494222ed586!8m2!3d23.7601529!4d90.4383929?shorturl=1 Bhelpuri: https://goo.gl/maps/emrZWM5LeViFKFS16:=:https://www.google.com/maps/place/Ave+04,+Dhaka/@23.7624316,90.4329152,19z/data=!3m1!4b1!4m5!3m4!1s0x3755b80a83d62751:0xc28d4ea37d108259!8m2!3d23.7624316!4d90.4334624?shorturl=1 আপনাদের অবগতির জন্য জানানো যাচ্ছে যে ভিডিওটি রোজার আগে ধারণ করা হয়েছিল। 🙂 ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/",https://www.facebook.com/PetukCouple/videos/347922554037087/,3.88,petuk-couple_148,2,27,29,2022-04-11 13:45:03,monday,14,0.9466167173963943,7,0.8620689655172413
12-04-22,8:45:37,"124,363",74648,2579,1883,42352,817,633,186,92,1173,4 Different Nihari from 4 Restaurants HD VLOG on YouTube: https://youtu.be/50pm9Taepds:=:https://www.youtube.com/watch?v=50pm9Taepds এই রমজানে আপনিও গ্লুকো ম্যাক্স ডি দিয়ে সহজেই বানিয়ে ফেলতে পারেন রিফ্রেশিং সব ড্রিংক । আপনার বানানো ড্রিংকের ছবি #iftarreadywithGlucoMaxD দিয়ে আপলোড করুন আর আপলোড করা সেরা ছবিটি পেয়ে যাবে আমাদের পক্ষ থেকে আকর্ষনীয় গিফট হ্যাম্পার। Nihari FB Pages: BOIL BAKE n FRY: https://www.facebook.com/BOIL-BAKE-n-FRY-121234709709999 Hello Dhaka: https://www.facebook.com/hellodhakarestaurant NihariWala: https://www.facebook.com/nihariwalabd IKitchen: https://www.facebook.com/IKitchenHauteCuisines ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/,https://www.facebook.com/PetukCouple/videos/948457302490327/,5.35,petuk-couple_149,6,23,29,2022-04-12 13:45:37,tuesday,14,0.959737475968444,7,0.5862068965517241
13-04-22,3:00:00,"68,308",42853,922,2327,21081,324,192,28,48,533,🔥 শাহী হালিম রেসিপি || ঝুরা মাংসের হালিম আর সাথে আস্ত মাংস || Shahi Haleem Recipe 😍 ✅ HD VLOG on YouTube: https://youtu.be/22whmGUsflM:=:https://www.youtube.com/watch?v=22whmGUsflM Try this Haleem and let us know in the comment if you liked it ❤️ ✅ Join Our Facebook Group: https://www.facebook.com/groups/269028511277875/,https://www.facebook.com/PetukCouple/videos/711602606948523/,2.94,petuk-couple_150,4,25,29,2022-04-13 08:00:00,wednesday,9,0.975862379537062,7,0.7241379310344828
15-04-22,4:00:39,"22,111",13253,303,86,8135,49,62,8,10,205,"🔥 বিরিয়ানিময় পুরান ঢাকায় একদিন || Puran Dhaka's Famous Biriyani with Mark Wiens ❤️ VLOG Date: 27 Mar, 2022 🗺 Locations: Haji Biriyani: https://goo.gl/maps/9Nbhp9veQgRXVtS79:=:https://www.google.com/maps/place/Haji+Biriyani/@23.7212662,90.4067959,18.34z/data=!4m6!3m5!1s0x3755b8fc793dce3f:0x298a8623a7ade83e!8m2!3d23.720664!4d90.4057482!15sCg1oYWppIGJpcml5YW5pWg8iDWhhamkgYmlyaXlhbmmSARJiaXJ5YW5pX3Jlc3RhdXJhbnQ?shorturl=1 Hanif Biriyani: https://goo.gl/maps/yLf768BHFDqSjgU3A:=:https://www.google.com/maps/place/Hanif+Biryani/@23.7207032,90.4061704,20.19z/data=!4m5!3m4!1s0x3755b8fc7a6d5a13:0xd5eb9e5a71484d22!8m2!3d23.7205602!4d90.4060232?shorturl=1 ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/",https://www.facebook.com/PetukCouple/videos/698518074606578/,-1.05,petuk-couple_151,0,29,29,2022-04-15 09:00:39,friday,10,0.9811075687802574,7,1.0
16-04-22,8:45:38,"77,117",52717,1057,890,21261,299,256,25,31,581,"পুরান ঢাকায় আস্ত মাছের বারবিকিউ || Full Fish BBQ in Puran Dhaka 😍 Location: https://goo.gl/maps/vUXKj3fQPfPsqnxF6:=:https://www.google.com/maps/place/Allah+Dan+pan/@23.7203959,90.4060319,21z/data=!4m5!3m4!1s0x3755b94203714a8f:0xa16e8836120075f!8m2!3d23.720351!4d90.4060505?shorturl=1 ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/",https://www.facebook.com/PetukCouple/videos/543511497188532/,3.32,petuk-couple_152,5,24,29,2022-04-16 13:45:38,saturday,14,0.9722086135483009,7,0.6551724137931034
17-04-22,8:50:52,"23,952",15980,338,220,7075,116,37,12,7,167,"পুরান ঢাকার কাবাব আর লাচ্ছি 😍 || Puran Dhaka Kabab & Lacchi with Mark Wiens 🔥 Full VLOG on YouTube: https://youtu.be/wi3CE_3_vqg:=:https://www.youtube.com/watch?v=wi3CE_3_vqg 🗺 Locations: Bismillah Kabab: https://goo.gl/maps/161sKCM4w11tcvrL9:=:https://www.google.com/maps/place/Bismillah+Kabab+Ghar/@23.7203088,90.4063069,20.19z/data=!4m5!3m4!1s0x3755b8fc7c9ec313:0x55add133d929d9d5!8m2!3d23.7203539!4d90.4061875?shorturl=1 Beauty Lacchi: https://goo.gl/maps/zvomerZz6fo3QxBP7:=:https://www.google.com/maps/place/Beauty+Lacchi+and+Faluda/@23.7209846,90.4061396,20.15z/data=!4m5!3m4!1s0x3755b9008cc0fa87:0x3fcf9ecaec297e78!8m2!3d23.7214405!4d90.4057814?shorturl=1 ✅ Join our FB Group: https://www.facebook.com/groups/269028511277875/",https://www.facebook.com/PetukCouple/videos/698812384498736/,1.03,petuk-couple_153,1,28,29,2022-04-17 13:50:52,sunday,14,0.9848934448340977,7,0.9310344827586207
22-04-22,4:00:32,"14,269",9441,123,161,4402,27,13,4,1,97,🔥 আমাদের পছন্দের ঝালময় মুরগি রেসিপি 😍 ✅ উপকরণ ও পরিমান YouTube এর Description Box এ দেওয়াও আছে : https://youtu.be/HE81eMfbWXI:=:https://www.youtube.com/watch?v=HE81eMfbWXI ✅ Join Our Facebook Group: https://www.facebook.com/groups/269028511277875/,https://www.facebook.com/PetukCouple/videos/1019909982272572/,-1.63,petuk-couple_154,1,19,20,2022-04-22 09:00:32,friday,10,0.9920774647887324,7,0.9
13-05-22,4:00:39,"23,959",14797,286,97,8442,129,22,7,4,175,"থাইল্যান্ডের ফুকেটে প্রথম দিনে ঘুরাঘুরির কিছু মুহূর্ত ❤️ || Glimpse of our First Day in Phuket, Thailand ✅ For Full Vlog Series Subscribe: https://www.youtube.com/c/PetukCouple:=:https://www.youtube.com/channel/UCgc5_M1RttS2zaJlswB0F3w ❤️ Join Our Facebook Group: https://www.facebook.com/groups/269028511277875/",https://www.facebook.com/PetukCouple/videos/1422028534907729/,1.03,petuk-couple_155,1,28,29,2022-05-13 09:00:39,friday,10,0.9924820594600752,7,0.9310344827586207
