Post Created Date,Post Created Time,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Message,Link,Score,comment_csv,comment_neg,comment_pos,comment_total,timestamp,week_day,time_slot,polarity,polarity_class,polarity_comment
22-03-19,10:07:41,723,373,47,30,200,64,6,0,1,2,Hello guys this is my video about the selfie coffee at Café Mémoire . I really loved the unique type of coffee. Tho the taste was ordinary but the idea is quite different and amazing. Thanks to Salman Sadi for helping me with the video Follow Khudalagse for more contents like these!,https://www.facebook.com/khudalagse2/videos/2253387514879298/,-36.26,khudalagse_11,1,23,24,2019-03-22 15:07:41,friday,16,0.9487179487179487,7,0.9166666666666666
29-03-19,9:42:16,"1,213",830,61,18,261,26,10,2,1,4,Hello everyone! So here’s the video of my visit to Hui Legacy after they launched their new menu. Their new menu is all about thai foods. I tried so many items tho couldn’t taste everything at once. I'd definitely recommend Hui Legacy if you visit Uttara or if you’re looking for some great Thai foods in Dhaka. Thanks to Salman Sadi for helping me with the video Follow Khudalagse for more such contents. Instagram: https://www.instagram.com/khudalagse/ YouTube: https://www.youtube.com/channel/UCtIRl4NnqxraKAYq8EDy_ew,https://www.facebook.com/khudalagse2/videos/2304630133152901/,-21.61,khudalagse_12,7,14,21,2019-03-29 14:42:16,friday,15,0.9144736842105263,7,0.3333333333333333
15-04-19,9:50:13,"1,100",593,87,15,349,14,35,2,0,5,"Hello foodies, sorry for not uploading lately but here I am with a brand new and a different type of video this time. So this video is a comparison video between Burger King Bangladesh , Herfy Bangladesh , and Johnny Rockets Bangladesh . So I tasted 3 same type of burger from these places and compared between them 💁‍♀️ Let me know if you like the video and do comment down bellow if you agree or disagree with me. Do suggest some if you wanna see more videos like this. YouTube: https://www.youtube.com/channel/UCtIRl4NnqxraKAYq8EDy_ew Instagram: https://www.instagram.com/khudalagse:=:https://www.instagram.com/khudalagse/ Thanks to Salman Sadi for helping me with the video Follow Khudalagse for more contents . . . . #foodblogger #foodie #instafoodbd #dhakafood #foodblogs #foodblog #foodheaven #foodphotographer #dhaka #bangladeshiblogger #lifestyleblogger #bdrestaurants #foodiesofinstagram #goodeats #instaphoto #likeforlike #dhakaeats #dhakagram #khudalagse #food4thought #burgerking #herfy #foodjournal #foodreview #johnnyrockets #foodgasm",https://www.facebook.com/khudalagse2/videos/2241442019431408/,-23.83,khudalagse_13,12,18,30,2019-04-15 14:50:13,monday,15,0.817283950617284,7,0.2
26-04-19,11:33:06,881,503,54,13,287,12,9,0,0,3,Hey people! So I am back with another new vlog. And this time I went to Chef's Table BD gulshan branch. I wanted to show you some of the items you would love to taste when you’re at Chef's Table BD . Do let me know in the comment section below your favourites from there. Keep supporting 🙌🏻 Thanks to Salman Sadi for helping me with this video Follow Khudalagse for contents Instagram: https://www.instagram.com/khudalagse/ YouTube: https://www.youtube.com/channel/UCtIRl4NnqxraKAYq8EDy_ew . . . . . . . #foodblogger #foodie #instafoodbd #dhakafood #foodblogs #foodblog #foodheaven #foodphotographer #dhaka #bangladeshiblogger #lifestyleblogger #bdrestaurants #foodiesofinstagram #goodeats #instaphoto #likeforlike #dhakaeats #dhakagram #khudalagse #food4thought #foodphotography #foodstyling #foodjournal #foodreview #foodporn #foodgasm,https://www.facebook.com/khudalagse2/videos/435024597042971/,-29.76,khudalagse_14,4,23,27,2019-04-26 16:33:06,friday,17,0.9421221864951769,7,0.7037037037037037
05-05-19,9:00:01,"5,080",3552,177,66,1174,75,13,4,6,13,Hello everyone! So finally I am here with a Kacchi review. This time I visited Sultan's Dine - Gulshan branch. Do let me know in the comment section bellow if you want me to review some other kacchi or biriyani place. Follow Khudalagse for more such contents. Thanks to Salman Sadi for helping me with the video.,https://www.facebook.com/khudalagse2/videos/639967799777711/,-5.16,khudalagse_15,10,20,30,2019-05-05 14:00:01,sunday,15,0.9642023346303502,7,0.3333333333333333
10-05-19,11:48:14,443,260,15,38,117,9,1,0,1,2,"So I visited Hotel Sarina Dhaka for their iftar+dinner buffet offer. They have varieties of food and dessert items. I loved their chicken items and the deserts. They also have live Chinese bar, sushi bar and many different varieties to enjoy. Check out the video to see an overview of the ambience and the foods! Instagram: https://www.instagram.com/khudalagse/ YouTube: https://www.youtube.com/channel/UCtIRl4NnqxraKAYq8EDy_ew",https://www.facebook.com/khudalagse2/videos/443324229575451/,-59.18,khudalagse_16,1,5,6,2019-05-10 16:48:14,friday,17,0.9692307692307692,7,0.6666666666666666
17-05-19,9:00:02,427,223,56,13,118,16,1,0,0,0,My visit to S'MORES CAFE & RESTAURANT 👉 So Smore’s Cafe n Restaurant is a newly opened place in Dhanmondi. I saw the pictures and decorations of the interior and the food I thought of giving it a try. I loved the place so much that I am planning to go there again after Eid. Do checkout the whole video for my experience. Follow @khudalagse for more contents. Thanks to @salmansadii for helping me with the video.,https://www.facebook.com/khudalagse2/videos/1270934256391620/,-61.4,khudalagse_17,2,20,22,2019-05-17 14:00:02,friday,15,0.9851851851851852,7,0.8181818181818182
30-05-19,9:00:02,"1,428",1006,39,6,352,16,4,1,1,3,Hello people! So finally I made an Iftar platter video. This time I went to The Little Rome Cafe . One of the main reasons for visiting the place is Footsteps is working with 5 restaurants in this month of Ramadan for helping the unprivileged people. For more info about their project and for the review of the foods do checkout the whole video! Comment down below if you tried The Little Rome Cafe and let me know your experience. Follow Khudalagse for more contents. Thanks to Salman Sadi for helping me with the video. . . . . . #foodblogger #foodie #instafoodbd #dhakafood #foodblogs #foodblog #foodheaven #foodphotographer #dhaka #bangladeshiblogger #lifestyleblogger #bdrestaurants #foodiesofinstagram #goodeats #instaphoto #likeforlike #dhakaeats #dhakagram #khudalagse #food4thought #foodphotography #foodstyling #foodjournal #foodreview #foodporn #foodgasm #giveaway #footstep,https://www.facebook.com/khudalagse2/videos/861414714213631/,-18.36,khudalagse_18,2,15,17,2019-05-30 14:00:02,thursday,15,0.9681697612732095,7,0.7647058823529411
21-06-19,11:28:06,949,588,46,8,289,11,3,0,0,4,Hello everyone. Finally I am back with another new video after so long! This time I visited Kona Coffee which is inside Lakeshore gulshan! If you watch the full video you can see how reasonable their items are! And don’t forget to comment down below if you guys visited the place! Tag someone with whom you want to visit the place! Check out the video on YouTube: https://youtu.be/yVqUOCNsb5k:=:https://www.youtube.com/watch?v=yVqUOCNsb5k&feature=youtu.be Instagram:https://www.instagram.com/khudalagse,https://www.facebook.com/khudalagse2/videos/454999041968298/,-27.62,khudalagse_19,3,18,21,2019-06-21 16:28:06,friday,17,0.9804560260586319,7,0.7142857142857143
28-06-19,8:30:05,"3,079",1873,202,28,777,21,164,0,1,13,Heyy Guys! So here I am with another video! This time I tried the ‘BBQ platter’ from The Stubborn Goat . This is a brand new platter from their menu! Checkout the whole video to find out how big and mouthwatering this platter it! Don’t forget to mention your friends with whom you want to enjoy the platter! 😄 Btw: In this video you'll see the other side of Rafsan the 'ChotoBhai' *One thing you all have been asking me that what happened with my YouTube channel. I am facing some troubles from YouTube and trying to recover it. Hopefully it will be back soon* . . . . . Follow Khudalagse on socials for more videos! Thanks to Salman Sadi for helping me with the video.,https://www.facebook.com/khudalagse2/videos/428326121355821/,-8.51,khudalagse_20,6,24,30,2019-06-28 13:30:05,friday,14,0.6618852459016393,6,0.6
14-07-19,8:45:58,"9,456",5928,120,15,3202,29,112,1,5,44,Hey guys! So I am back with another video. This time I visited Nando’s! It was an unplanned video tho I always enjoy having Nando’s meal. Checkout the whole video to find out my favourite items from this place.,https://www.facebook.com/khudalagse2/videos/690684524730052/,-2.77,khudalagse_21,10,19,29,2019-07-14 13:45:58,sunday,14,0.9304450338933098,7,0.3103448275862069
01-08-19,8:30:06,"2,012",1071,141,21,674,28,62,1,2,12,Hello everyone! It's been a long time since I uploaded a video. So here I am with a new burger review after so long! Checkout the whole video to know about this new place. Also let me know if you tried Burger People yet. Follow Khudalagse for more videos and photo reviews. Shot and Edited by Salman Sadi Instagram: https://www.instagram.com/khudalagse:=:https://www.instagram.com/khudalagse/ YouTube: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ,https://www.facebook.com/khudalagse2/videos/903600183334278/,-13.03,khudalagse_22,11,18,29,2019-08-01 13:30:06,thursday,14,0.8331193838254172,7,0.2413793103448276
10-08-19,8:30:31,"3,437",2469,71,27,791,43,16,2,2,16,Hello everyone! So I am back with a new video! This time I visited A La Greek and I really had a great time. I literally fell in love with greek food. Checkout the whole video to know about this new place and to know my favourite items. Thanks to Salman Sadi for helping me with the video Follow Khudalagse for more videos. Instagram: https://www.instagram.com/khudalagse/ YouTube: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ,https://www.facebook.com/khudalagse2/videos/425338421657161/,-7.63,khudalagse_23,5,25,30,2019-08-10 13:30:31,saturday,14,0.9540229885057471,7,0.6666666666666666
16-08-19,9:26:47,"3,096",2303,78,18,639,34,10,2,2,10,"Hello everyone, I am back with another vlog! This time I visited Mainland China, Banani in search of some great Chinese food. Let me know your favourite place for having Chinese food and checkout the whole video to find if I liked the restaurant or not. P.S: Taste may differ from person to person. Quality of the food may decrease for rush hours or a bad day for the staffs. Follow Khudalagse for more videos like this. Thanks to Salman Sadi for helping me with the video.",https://www.facebook.com/khudalagse2/videos/2637079452970555/,-8.47,khudalagse_24,9,21,30,2019-08-16 14:26:47,friday,15,0.9598278335724534,7,0.4
24-08-19,8:00:30,"4,769",3302,49,16,1317,16,48,0,4,17,"Hello people! I am back with another video! This time I tried some Mexican food from La Cantina . This is a very new place, so checkout the whole video to know about some delicious Authentic Mexican food. Also don’t forget to let me know if you tried yet? P.S: Taste may vary from person to person. Quality of the food may decrease for rush hour and a bad day for the staffs. Follow Khudalagse for more videos. Shoot and edited by Salman Sadi",https://www.facebook.com/khudalagse2/videos/226434274943662/,-5.5,khudalagse_25,6,20,26,2019-08-24 13:00:30,saturday,14,0.9258202567760342,7,0.5384615384615384
31-08-19,8:00:17,"12,367",8035,329,55,3723,96,74,6,8,41,"Hello everyone, so I am back again with another vlog! This time I tried BUTCHER’s from Urban void food court. Starting this new series of some budget friendly places. Enjoy the video and suggest me some more places. Taste varies from person to person. Quality of the food may decrease because of rush hours and a bad day for the staffs. Follow Khudalagse for more videos. Shoot and edited by Salman Sadi YouTube Link: https://www.youtube.com/watch?v=DPKzJXfhLYg&feature=youtu.be Instagram Link: https://www.instagram.com/khudalagse/",https://www.facebook.com/khudalagse2/videos/811730495891216/,-2.12,khudalagse_26,6,24,30,2019-08-31 13:00:17,saturday,14,0.955420466058764,7,0.6
07-09-19,7:30:29,"12,235",7918,109,38,3994,72,31,0,5,68,Hello everyone! I am back with a brand new Video. This time I tried some Japanese food. And tried some items for the very first time! Checkout the whole video to find out the review of this new place Nobu 7 . Taste may vary from person to person. Quality of the food may decrease for rush hour or a bad day for the staffs. Follow Khudalagse for more videos. Judge yourself if it’s honest or scrumptious. Video by Salman Sadi YouTube Link: https://www.youtube.com/watch?v=DPKzJXfhLYg&feature=youtu.be Instagram Link: https://www.instagram.com/khudalagse/,https://www.facebook.com/khudalagse2/videos/471655416751692/,-2.14,khudalagse_27,5,23,28,2019-09-07 12:30:29,saturday,13,0.9827338129496402,7,0.6428571428571429
09-09-19,8:00:26,"61,643",34773,1484,381,19095,204,5331,31,41,303,This is quite a random video shot on my phone and it was also one of the most requested video! So here is the comparison video between 128 taka vs 6 taka Rastar chaa! Checkout the whole video to know who wins 🤣 Follow Khudalagse for more videos. Video by Salman Sadi,https://www.facebook.com/khudalagse2/videos/382784499072893/,2.35,khudalagse_28,12,18,30,2019-09-09 13:00:26,monday,14,0.5678464307138572,6,0.2
17-09-19,8:00:44,"3,828",2309,411,61,949,71,19,0,1,7,Hey guys! Welcome to a brand new video. For the Second Episode of Budget Friendly series I went to Street Oven Baily Road last week. Check out the whole video for details. Taste may vary from person to person. Quality of the food may decrease for rush hour or a bad day for the staffs. Follow Khudalagse for more videos. Judge yourself if it’s honest or scrumptious. Video by Salman Sadi YouTube Link: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ Instagram Link: https://www.instagram.com/khudalagse/,https://www.facebook.com/khudalagse2/videos/525610308243041/,-6.85,khudalagse_29,1,29,30,2019-09-17 13:00:44,tuesday,14,0.9617956064947469,7,0.9333333333333333
21-09-19,7:31:04,"8,891",5915,239,59,2538,68,27,1,6,38,Hey guys! Welcome to a brand new video. For the Second Episode of Budget Friendly series I went to Burger Xpress Baily Road last week in search of some quality burger at a reasonable price. Check out the whole video for details. Taste may vary from person to person. Quality of the food may decrease for rush hour or a bad day for the staffs. Follow Khudalagse for more videos. Judge yourself if it’s honest or scrumptious. Video by Salman Sadi YouTube Link: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ Instagram Link: https://www.instagram.com/khudalagse/,https://www.facebook.com/khudalagse2/videos/1180513192151836/,-2.95,khudalagse_30,6,24,30,2019-09-21 12:31:04,saturday,13,0.9746079163554892,7,0.6
23-10-19,7:30:00,"10,049",7133,371,102,2179,138,78,8,9,31,"Hello everyone! Welcome back to another brand new video. In this video I went to Uttara to try out the Ajo Idea Space! Checkout the whole video to know about this new unique restaurant. Also let me know if you tried Ajo yet. Taste may vary from person to person. Food quality may be different on rush hour. Follow Khudalagse for more videos and photo reviews. Shot and Edited by Salman Sadi Location: https://goo.gl/maps/FTyicFF7zVNYsCdR9:=:https://www.google.com/maps?q=14/A,+Ajo+Idea+Space,+Rd+No:+2,+Dhaka+1230&ftid=0x3755c4178dd4e377:0x86abe4dac9110516&hl=en&gl=bd&shorturl=1 Instagram: https://www.instagram.com/khudalagse/ Facebook: https://www.facebook.com/khudalagse2/ YouTube: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ",https://www.facebook.com/khudalagse2/videos/548396832632593/,-2.61,khudalagse_31,7,22,29,2019-10-23 12:30:00,wednesday,13,0.9222267703643062,7,0.5172413793103449
28-10-19,7:30:00,"54,362",29939,771,198,17449,125,5551,14,37,278,"Hello everyone, I am back with another video! This time I didn’t do anything related to food. I answered to the most frequently asked questions! Check out the video and thanks for the immense support throughout my journey! Follow Khudalagse for reviews Thanks for helping me with the video Salman Sadi Keep an eye on my friend Raima's channel because we recently collaborated on a fun little video! Link: https://www.youtube.com/channel/UCNjV4WGmd-aFBkKYKbExA0Q Instagram: https://www.instagram.com/khudalagse/ Facebook: https://www.facebook.com/khudalagse2/ YouTube: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ",https://www.facebook.com/khudalagse2/videos/424204951614640/,2.07,khudalagse_32,4,26,30,2019-10-28 12:30:00,monday,13,0.5222989681930588,6,0.7333333333333333
06-11-19,0:19:00,"94,468",62064,1555,499,28399,731,620,44,74,482,"Hello everyone! Welcome back to another brand new video. In this video I went to Uttara again to try out a restaurant called Meal In The Car Checkout the whole video to know about this new car themed restaurant. Also let me know if you tried it yet. Taste may vary from person to person. Food quality may be different on rush hour. Follow Khudalagse for more videos and photo reviews. Shot and Edited by Salman Sadi Location: Meal in The Car 3rd floor, opposite side of IBN SINA, 45 Gareeb-e-Nawaz Ave, Dhaka 1230 01308-626882 https://goo.gl/maps/DtiroxJbRdrd7mTX9:=:https://www.google.com/maps?q=Meal+in+The+Car,+3rd+floor,+opposite+side+of+IBN+SINA,+45+Gareeb-e-Nawaz+Ave,+Dhaka+1230&ftid=0x3755c50c0c5d8fc5:0xdf1c07b83838c250&hl=en&gl=bd&shorturl=1 Instagram: https://www.instagram.com/khudalagse/ Facebook: https://www.facebook.com/khudalagse2/ YouTube: https://www.youtube.com/channel/UCgpeGr1LGDdomPjZidistXQ",https://www.facebook.com/khudalagse2/videos/544696682756316/,3.6,khudalagse_33,12,18,30,2019-11-06 05:19:00,wednesday,6,0.9513673805601318,7,0.2
