sentence1
"দেখেই যাইতে মন চাই🙂 কোন জায়গা ভাইয়্যা এটা?"
"ভাই আপনি কোন ক্যামেরা ব্যবহার করেন?"
"গ্রউপ আ জইন করা জাসসে না কন 😒"
"#বাংলাদেশ_অনলাইন_আরাবিক_স্কুল। #ভর্তি_চলছে!!! #ভর্তি_চলছ!!! বিশ্বের যেকোনো জায়গা থেকে ভিডিও কল এর মাধ্যমে ক্লাস করতে পারবেন। ছোট /বড় সবার জন্য কুরআন শিক্ষা নামাজ দোয়া দরুদ হাদিসমাসয়ালা মাসায়েল #মক্তব_বিভাগ। মেয়েদের জন্য মেয়ে শিক্ষক। পুরুষদের জন্য পুরুষ শিক্ষক। বিস্তারিত জানতে কল করুন ঃ 🇧🇩☎ ০১৯১৮৪২৪৮৫৩ 🇧🇩☎ ০১৭৫৩৩৩৫৪১৫"
